Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,_version:1,_order:25,Data class,Data type,Answers,units
"
55c66d4f-e3dd-4833-9e17-92e84d83465f",,"Others, systematic illness",Others,Whether the patient has any other systemic illness,,,Question,Boolean,
a20395f4-3108-4e35-bfd3-3d53c5488058,,"Nutritional Assessment, Undernourished",Undernourished,The patient is undernourished,,,Misc,N/A,
"
f4e01b50-4953-4809-b09e-15fed302c75d",,Well-built,Well-built,The patient is well-built,,,Misc,N/A,
cdc0e3af-a9c8-4a0b-b08e-d2e014f0ec92,,Obese,Obese,The patient is obese,,,Misc,N/A,
a2baca63-a259-4950-b917-7e025b70a392,,Nutritional Assessment,Nutritional Assessment,The nutritional status of the patient,,,Question,Coded,"Nutritional Assessment, Undernourished;
Well-built;
Obese;"
5089AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Weight (kg),Weight,,,,Question,Numeric,
5090AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Height (cm),Height,,,,Question,Numeric,
ae9220b1-5f7d-4fbd-9c2a-0df38294f052,,Fully immunized,Immunization status of the child,,,,Misc,N/A,
11041572-f840-4290-b055-15a2829b188f,,Not fully immunized,The child is fully immunized,,,,Misc,N/A,
9e1c4897-8ac0-486f-8daa-bbc22e0d4f76,,I do not know,I do not know,,,,Misc,N/A,
164464AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Immunization Status,The child is not fully immunized,,,,Question,Coded,"Fully immunized;
Not fully immunized;
I do not know;"
3a6848ad-be50-4518-8814-d23e3c2a0955,,SLIT LAMP EXAMINATION,,,,,Misc,N/A,
6fe5e473-99b4-4c4d-8113-1b5dc253e6df,,"Lids, Left Eye",,The status of the lids,,,Question,Coded,Normal; Abnormal
2e20e926-4b79-464f-848d-4272cb13ad14,,"Lids, Right Eye",,The status of the lids,,,Question,Coded,Normal; Abnormal
9b02e813-1eac-4df5-9450-a7724172991d,,"Conjuctiva, Left Eye",,The status of conjuctiva,,,Question,Coded,Normal; Abnormal
2d71dd9c-dab9-43d1-88a2-2cce1d9bb0b7,,"Conjuctiva, Right Eye",,The status of conjuctiva,,,Question,Coded,Normal; Abnormal
402927a3-3e42-4b4f-8eef-d84fc37f1bcf,,"Sclera, Left Eye",,The status of the sclera,,,Question,Coded,Normal; Abnormal
9de9e950-66e3-4ce0-9d9f-4cf0a783e54c,,"Sclera, Right Eye",,The status of the sclera,,,Question,Coded,Normal; Abnormal
63945386-7d99-4515-8efe-7ef705a14166,,"Cornea, Left Eye",,The status of cornea,,,Question,Coded,Normal; Abnormal
18f7d6a7-2213-43d2-995d-508f642c6ad5,,"Cornea, Right Eye",,The status of cornea,,,Question,Coded,Normal; Abnormal
0e2f240b-2e91-4a3f-bf8c-d519b2114c6e,,"Anterior chamber, Left Eye",,The status of the anterior chamber,,,Question,Coded,Normal; Abnormal
137487f7-beb1-48b7-976d-c0893e97ebb1,,"Anterior chamber, Right Eye",,The status of the anterior chamber,,,Question,Coded,Normal; Abnormal
e6014df6-61d5-4627-b399-3e94ba400757,,"Iris, Left Eye",,The status of the iris,,,Question,Coded,Normal; Abnormal
71395c5f-fd71-4643-a646-1773769e6df6,,"Iris, Right Eye",,The status of the iris,,,Question,Coded,Normal; Abnormal
2f66ce01-7417-427c-b78a-187cb78ea11b,,"Vitreous Examination, Left Eye",,The status of the vitreous examination,,,Question,Coded,Normal; Abnormal
b6fdbbca-edaf-4757-bf01-c669c7b0cb54,,"Vitreous Examination, Right Eye",,The status of the vitreous examination,,,Question,Coded,Normal; Abnormal
e1ab0fb2-d27a-4fcc-aae9-eb9af0a45b79,,"Pupil, Left Eye",,The status of the pupil,,,Question,Coded,Normal; Abnormal
e3c940b5-9ea8-494b-8c19-45cbda44d14f,,"Pupil, Right Eye",,The status of the pupil,,,Question,Coded,Normal; Abnormal
0b4778d4-0943-4a6e-b489-d3fbbb3885bd,,"Lens, Left Eye",,The status of the lens,,,Question,Coded,Normal; Abnormal
c0cf2a25-8341-445a-9448-0d42bed42c42,,"Lens, Right Eye",,The status of the lens,,,Question,Coded,Normal; Abnormal
ba2fb58d-e54b-43d2-9adf-4eba9f3def3b,,"Ocular movements, Left Eye",,Status of ocular movements,,,Question,Coded,Normal; Abnormal
ac5edd76-178b-468a-ab76-d02c8ac65a7b,,"Ocular movements, Right Eye",,Status of ocular movements,,,Question,Coded,Normal; Abnormal
9ab27ec2-9b35-4c68-b6a1-ec95a8c80e9b,,"Duct examination, Left Eye",,The findings of duct examination,,,Question,Coded,Normal; Abnormal
087f8219-4c6d-49e2-99c3-16400ecbe34f,,"Duct examination, Right Eye",,The findings of duct examination,,,Question,Coded,Normal; Abnormal
b39b7fe0-693a-4d5a-a0c7-29eda7fc0c99,,"Lids, Left Eye, Normal",,The status of a normal lid,,,Question,Coded,Normal skin;Well directed cilia;Patent meibomian gland orifices;Patent punctum 
50cb2c9d-eaf1-4da6-9c70-a8d09734fc62,,"Lids, Left Eye, Abnormal",,The status of an abnormal lid,,,Question,Coded,Inflamed skin;Swollen skin;Over hanging skin;Mass;Macule;Papule;Vesicle;Bulla;Pustule;Crust;Nodule;Cyst;Plaque;Scale;Papilloma;Ulcerated;Port Wine stain;Scales on cilia;Sticky cilia;Minimal discharge;Profuse discharge;Misdirected UL lashes;Mis directed LL;Foamy discharge;Hyperaemic eyelid margin;Telangiectasis;Ectropion;Entropion;S shaped appearance;Clogged meibomian glad;Stenosed UL punctom;Stenosed LL punctom;Small eye lid laceration;Complicated eyelid laceration;Other
3f0a7613-c628-430d-8e3c-7b7cc939b5a1,,"Lids, Right Eye, Normal",,The status of a normal lid,,,Question,Coded,Normal skin;Well directed cilia;Patent meibomian gland orifices;Patent punctum 
9404c967-4067-411b-9136-5a35464ff360,,"Lids, Right Eye, Abnormal",,The status of an abnormal lid,,,Question,Coded,Inflamed skin;Swollen skin;Over hanging skin;Mass;Macule;Papule;Vesicle;Bulla;Pustule;Crust;Nodule;Cyst;Plaque;Scale;Papilloma;Ulcerated;Port Wine stain;Scales on cilia;Sticky cilia;Minimal discharge;Profuse discharge;Misdirected UL lashes;Mis directed LL;Foamy discharge;Hyperaemic eyelid margin;Telangiectasis;Ectropion;Entropion;S shaped appearance;Clogged meibomian glad;Stenosed UL punctom;Stenosed LL punctom;Small eye lid laceration;Complicated eyelid laceration;Other
b98f284d-00b8-4c63-ae32-663cfe3ae706,,"Conjuctiva, Left Eye, Normal",,The status of normal conjuctiva,,,Question,Coded,Clear;Translucent;No injection
caf59ecf-86e8-4044-bd55-8ada6aba0e26,,"Conjuctiva, Right Eye, Normal",,The status of normal conjuctiva,,,Question,Coded,Clear;Translucent;No injection
a2277b8f-950a-47c6-94e8-bbab9498fd77,,"Conjuctiva, Left Eye, Abnormal",,The status of abnormal conjuctiva,,,Question,Coded,Red;Congestion;Discharge;Discolored;Chemosis;Papillae;Follicles;Deep seated concreations;Superficial concretion;Yellowish bump;Wedge shaped growth;Phlycten;Mass;Cyst;Ulcer;Granulomas;Membrane;Pseudo membrane;Scar;Foreign body;Tear;Short fornix;Conjunctival haemorrhage;Other
c72ac598-aee8-46b5-8137-f7412006b1bb,,"Conjuctiva, Right Eye, Abnormal",,The status of abnormal conjuctiva,,,Question,Coded,Red;Congestion;Discharge;Discolored;Chemosis;Papillae;Follicles;Deep seated concreations;Superficial concretion;Yellowish bump;Wedge shaped growth;Phlycten;Mass;Cyst;Ulcer;Granulomas;Membrane;Pseudo membrane;Scar;Foreign body;Tear;Short fornix;Conjunctival haemorrhage;Other
7a761ade-add1-4e08-a17d-2a7e94901d68,,"Cornea, Left Eye, Normal",,The status of normal cornea,,,Question,Coded,Clear;Smooth;Transparent
75eec5c9-b074-4ecc-84db-f615ba5516a8,,"Cornea, Right Eye, Normal",,The status of normal cornea,,,Question,Coded,Clear;Smooth;Transparent
a6951dd9-eefd-4312-adcc-a2f8f688ec1e,,"Cornea, Left Eye, Abnormal",,The status of abnormal cornea,,,Question,Coded,Abrations;Punctate epithelial erosions;Central corneal ulcer;Paracentral corneal ulcer;Peripheral corneal ulcer;Superficial Ulcer;Deep ulcer;Vascularized;Corneal epithelial defect;Corneal Opacity;Corneal Edema;Dendritic keratitis;Geographic keratitis;Discform keratitis;Necrotizing stromal keratitis;Stromal Opacity;Diffuse stromal edema;Necrotized stromal keratitis;Stromal edema with KPS;Descemetocele;Micro cornea;Megalo cornea;Buphthalmos;Haab striae;Keratic Precipiates;Corneal tear;Corneal tear with iris prolapse;Foreign body;Lipid deposit;Corneal Haze;Lasik flap;Corneal graft;Penetrating keratoplasty;Endothelial Keratoplasty;Contact lense;Keratoconnus;Kerato malacia;Peripheral ulceration keratitis;Phlyctenular kerato conjunctivitis;Superficial punctate keratitis;Microcyst;Dellen;Striae;Folds;Anterior staphyloma;Perforated cornea;Iris prolapse;Adherent leucoma;Perilimbal Horner-Trantas dots;Limbal Herbert's pits;Phthisis bulbi;Other
