Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Complex data handler,Answers,_version:1,_order:23,units
5b67b71d-54c3-4cae-8498-f52a46912d9e,,Barrett Universal II,Barrett Universal II,Barrett Universal II,Misc,N/A,,,,,
ecdc2e2a-28f8-4c48-9980-ea9f76d9520c,,Hill-RBF,Hill-RBF,Hill-RBF,Misc,N/A,,,,,
425a33db-34e3-4ce4-8fdc-742ea58f7600,,Olsen,Olsen,Olsen,Misc,N/A,,,,,
96169986-3679-4d28-8f66-c11a7b98981c,,Other Biometry Formula,Other Biometry Formula,Other Biometry Formula,Misc,N/A,,,,,
27dd8adf-de3e-44b6-9128-155539831220,,Biometry Formula,Biometry Formula,Biometry Formula,Question,Coded,,SRK II;SRK;SRK/T;Holladay 1;Holladay 2;Hoffer Q;Haigis;Barrett Universal II;Hill-RBF;Olsen;Other,,,
2d6e84a6-aa4b-4f0c-9c8e-120961bcce21,,Biometry Formula Other,Biometry Formula Other,Biometry Formula Other,Question,Text,,,,,
4ef22282-961a-45c1-ada1-790037d0d705,,One Day Follow Up,One Day Follow Up,One Day Follow Up,Misc,N/A,,,,,
cecdeff4-4626-416c-8837-7b80eafc9aa9,,One Week Follow Up,One Week Follow Up,One Week Follow Up,Misc,N/A,,,,,
76e0a995-fff2-47e1-855d-423fe9f98620,,One Month to 6 Weeks Follow Up,One Month to 6 Weeks Follow Up,One Month to 6 Weeks Follow Up,Misc,N/A,,,,,
78530eb2-4980-4fcf-9eb7-70ed5f97acc8,,Follow Up Type,Follow Up Type,Follow Up Type,Question,Coded,,One Day Follow Up;One Week Follow Up;One Month to 6 Weeks Follow Up;Other,,,
22310eef-72fa-43cb-a7b8-fba0e07c951e,,Other Period Specify,Other Period Specify,Other Period Specify,Question,Text,,,,,
783b8ef7-8a4c-4640-a403-d6c62d739299,,Patient-related risk factors,Surgical or immediate post-operative complications,Surgical or immediate post-operative complications,Misc,N/A,,,,,
0df28527-889f-48e4-af5c-529cbc59e06e,,Surgical or immediate post-operative complications,Surgical or immediate post-operative complications,Surgical or immediate post-operative complications,Misc,N/A,,,,,
2644f472-ab17-4f44-ac92-0d0eaaafffe1,,Late post-operative  complications,Late post-operative  complications,Late post-operative  complications,Misc,N/A,,,,,
bda45941-6d4a-446c-bf5f-f704bad01373,,Reason (If UCVA 6/12 and less),Reason (If UCVA 6/12 and less),Reason (If UCVA 6/12 and less),Question,Coded,,Patient-related risk factors;Surgical or immediate post-operative complications;Late post-operative  complications,,,
fefe5531-95f0-40f0-9c4e-f0dfe65cfcfc,,"Check stickers (Eye to be operated, systemic, monitoring, SMO)","Check stickers (Eye to be operated, systemic, monitoring, SMO)","Check stickers (Eye to be operated, systemic, monitoring, SMO)",Question,Boolean,,,,,
58862836-024d-4b19-b3d1-47b397ebc633,,Suppression Test,Suppresion Test,Suppresion Test,Question,Text,,,,,
25061a18-797a-4784-aa66-b57f3aa776bd,,Confirm patient full name,Confirm patient full name,Confirm patient full name,Question,Boolean,,,,,
d14c0e45-a2ff-42d7-9441-075b051f6460,,Check medical record,Check medical record,Check medical record,Question,Boolean,,,,,
48e15a59-ec7c-46dd-b026-7a60d10e52f8,,Correct eye confirmed,Correct eye confirmed,Correct eye confirmed,Question,Boolean,,,,,
fd5b5572-40ef-4d71-a462-7f894638ffc7,,Procedure explained and confirmed,Procedure explained and confirmed,Procedure explained and confirmed,Question,Boolean,,,,,
b59672be-62ea-4092-9a00-76f4260c9ff4,,Written informed consent signed,Written informed consent signed,Written informed consent signed,Question,Boolean,,,,,
eee1312d-ca37-452d-9863-c3407d1e0c35,,Allergy status checked,Allergy status checked,Allergy status checked,Question,Boolean,,,,,
d4f59fad-739d-4cc8-a076-3a7b62ac1a43,,Vital signs recorded,Vital signs recorded,Vital signs recorded,Question,Boolean,,,,,
3c6c5618-6ef4-4362-a963-4e5765f26b35,,Medical history reviewed,Medical history reviewed,Medical history reviewed,Question,Boolean,,,,,
8a17eef6-c20a-4b6f-8ca9-fb9d1d8386d9,,Current medication reviewed,Current medication reviewed,Current medication reviewed,Question,Boolean,,,,,
9dd631c9-4daf-4b98-8dff-03eef283861a,,Preoperative eye drops administered,Preoperative eye drops administered,Preoperative eye drops administered,Question,Boolean,,,,,
6fbcd1cd-eaab-48e2-b0fb-0c58c0e790fc,,Hand hygiene performed,Hand hygiene performed,Hand hygiene performed,Question,Boolean,,,,,
f06c8b2d-0c79-4c9a-be8a-57c013f9ea99,,Sterile gown and gloves worn,Sterile gown and gloves worn,Sterile gown and gloves worn,Question,Boolean,,,,,
