Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Complex data handler,Answers,_version:1,_order:24,units
f15c03d4-a096-4fed-ba4e-30f66e4ec272,,Prescribed power / magnification,Prescribed power / magnification,Prescribed power / magnification,Question,Text,,,,,
899db6cc-a47b-4207-8743-7f13cf9383c6,,Prescribed working distance,Prescribed working distance,Prescribed working distance,Question,Numeric,,,,,cm
3ec81677-5b91-4bda-88c2-9b5ce93add17,,Device use training provided,Device use training provided,Device use training provided,Question,Boolean,,,,,
6745bdf8-1973-44e4-a024-ed15ebd2fa49,,Eccentric viewing training provided,Eccentric viewing training provided,Eccentric viewing training provided,Question,Boolean,,,,,
e25186aa-8485-49e8-949e-cd75ad4d27ec,,Scanning training provided,Scanning training provided,Scanning training provided,Question,Boolean,,,,,
4afdf028-ebb6-4690-a398-29d2ce2dd3f8,,Orientation and mobility,Orientation and mobility,Orientation and mobility,Misc,N/A,,,,,
a3e941c5-4498-4ca8-849e-d2f2f9e1abde,,Occupational therapy,Occupational therapy,Occupational therapy,Misc,N/A,,,,,
b5a54911-f3f1-44ec-ae89-b1e9b3c67541,,School support,School support,School support,Misc,N/A,,,,,
83ecb658-9070-47ef-b0f5-678ba5d78cef,,Counselling,Counselling,Counselling,Misc,N/A,,,,,
d87434f4-9769-4c79-b169-099ce1eabcb4,,Rehabilitation referrals,Rehabilitation referrals,Rehabilitation referrals,Question,Coded,,Orientation and mobility;Occupational therapy;School support;Counselling;Other,,,
d1ec68cf-85ce-4d50-83c5-e711136ee8f2,,Other Rehabilitation referrals,Other Rehabilitation referrals,Other Rehabilitation referrals,Question,Text,,,,,
666218a5-5f30-4b39-a74e-af42fe8b35d9,,Follow-up date,Follow-up date,Follow-up date,Question,Date,,,,,
70e79692-6615-4186-b30f-35fc5af052e8,,Improved,Improved,Improved,Misc,N/A,,,,,
aa423116-e0fb-4c97-95d1-a8730b6aaa97,,Yearly,Yearly,Yearly,Misc,N/A,,,,,
456129d0-3e6e-482a-97d7-29b85aa73590,,Expected outcome,Expected outcome,Expected outcome,Question,Coded,,Improved;Stable;Poor,,,
9646684f-7679-4d06-8590-48ece4f9ed8c,,"Clinician notes, Low Vision","Clinician notes, Low Vision","Clinician notes, Low Vision",Question,Text,,,,,
0b05befc-b365-44b9-a3f7-8e50baa7dcd9,,Refractive correction,Refractive correction,Refractive correction,Misc,N/A,,,,,
36a77fcf-784a-435d-8eff-9982f7077293,,Cosmetic,Cosmetic,Cosmetic,Misc,N/A,,,,,
48b76a21-2f94-4df7-9214-12220b42a5ea,,Post-Surgical,Post-Surgical,Post-Surgical,Misc,N/A,,,,,
02e09ad2-837b-4bab-9ae8-f2efe5c293f8,,Therapeutic/bandaging,Therapeutic/bandaging,Therapeutic/bandaging,Misc,N/A,,,,,
a4257b3b-7977-4b7a-8673-c2c663ead14f,,Sports,Sports,Sports,Misc,N/A,,,,,
bdda02d0-5d5b-4437-94a1-9c224d5aa14e,,Indication,Indication,Indication,Question,Coded,,Refractive correction;Cosmetic;Post-Surgical;Therapeutic/bandaging;Sports;Other,,,
1c17d8e4-b3ae-4330-a0ed-63676dc42084,,Other Indication,Other Indication,Other Indication,Question,Text,,,,,
169d4e88-b064-4504-afa7-7450f52ca36c,,Previous contact lens use,Previous contact lens use,Previous contact lens use,Question,Boolean,,,,,
5d343d39-c126-4820-8e6c-b24d46f49f4b,,Soft spherical,Soft spherical,Soft spherical,Misc,N/A,,,,,
465db0c5-d772-47d3-9bbf-e4e61a77885e,,soft toric,soft toric,soft toric,Misc,N/A,,,,,
2268349a-ac5f-4be6-8a66-4e03e80b08ed,,RGP,RGP,RGP,Misc,N/A,,,,,
6a2dc904-c38d-4c47-816f-88c4788a8786,,Scleral,Scleral,Scleral,Misc,N/A,,,,,
7100f47d-f3e8-412c-aff1-7685b0b68721,,Previous contact lens type,Previous contact lens type,Previous contact lens type,Question,Coded,,Soft spherical;soft toric;RGP;Hybrid;Scleral,,,
ae5b802f-dec3-4742-8a8a-cd1984b0c6c8,,Wearing duration,Wearing duration,Wearing duration,Question,Numeric,,,,,years
51a979f9-913f-48af-aeb5-28efeda838b8,,Daily wear,Daily wear,Daily wear,Misc,N/A,,,,,
b7b82329-2fa4-4e4e-82b6-21a3a4ebfa13,,Extended wear,Extended wear,Extended wear,Misc,N/A,,,,,
408d6eab-e6a6-48f1-b919-54b3546e0572,,"Wearing schedule, Contact Lens","Wearing schedule, Contact Lens","Wearing schedule, Contact Lens",Question,Coded,,Daily wear;Extended wear,,,
442c4a6c-6c86-411a-a64e-78754f7b3a49,,Daily,Daily,Daily,Misc,N/A,,,,,
f670eb95-ea12-4250-91ee-905548bdbf57,,Biweekly,Biweekly,Biweekly,Misc,N/A,,,,,
b02b8817-c080-47b3-ac34-b2defa840bd3,,Replacement schedule,Replacement schedule,Replacement schedule,Question,Coded,,Daily;Biweekly;Monthly;Yearly,,,
036e045c-6a36-4f4b-b230-957e2ddd6e12,,Dryness,Dryness,Dryness,Misc,N/A,,,,,
c324e236-90c0-4dee-a560-a624ea314c23,,Redness,Redness,Redness,Misc,N/A,,,,,
a2955977-694b-4255-be66-691ad70fe70b,,Foreign body sensation,Foreign body sensation,Foreign body sensation,Misc,N/A,,,,,
cd5c272b-ecb1-4827-9fe6-c5f58319d0d2,,Discomfort,Discomfort,Discomfort,Misc,N/A,,,,,
25181ef8-e9ec-4f3c-9316-9aafee559db2,,Watering,Watering,Watering,Misc,N/A,,,,,
79a83618-bda5-43e1-86ee-2fc41f831c29,,"Symptoms, Contact Lens","Symptoms, Contact Lens","Symptoms, Contact Lens",Question,Coded,,Dryness;Redness;Foreign body sensation;Discomfort;Watering;None,,,
db1c3af8-97a1-415b-b77e-93de047be4ee,,Refraction right eye,Refraction right eye,Refraction right eye,Question,Text,,,,,
413e819f-f801-4484-9a1c-9e06a9db54f8,,Refraction left eye,Refraction left eye,Refraction left eye,Question,Text,,,,,
402eaabf-f2b5-4828-aeb3-bd1ed666e83b,,BCVA Right Eye,BCVA Right Eye,BCVA Right Eye,Question,Text,,,,,
41c34117-ca41-4656-950f-c0c076e81c93,,BCVA Left Eye,BCVA Left Eye,BCVA Left Eye,Question,Text,,,,,
