Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,units,Complex data handler,_version:1,_order:27
a6951dd9-eefd-4312-adcc-a2f8f688ec1e,,"Cornea, Left Eye, Abnormal",,The status of abnormal cornea,Question,Coded,Abrations;Punctate epithelial erosions;Central corneal ulcer;Paracentral corneal ulcer;Peripheral corneal ulcer;Superficial Ulcer;Deep ulcer;Vascularized;Corneal epithelial defect;Corneal Opacity;Corneal Edema;Dendritic keratitis;Geographic keratitis;Discform keratitis;Necrotizing stromal keratitis;Stromal Opacity;Diffuse stromal edema;Necrotized stromal keratitis;Stromal edema with KPS;Descemetocele;Micro cornea;Megalo cornea;Buphthalmos;Haab striae;Keratic Precipiates;Corneal tear;Corneal tear with iris prolapse;Foreign body;Lipid deposit;Corneal Haze;Lasik flap;Corneal graft;Penetrating keratoplasty;Endothelial Keratoplasty;Contact lense;Keratoconnus;Kerato malacia;Peripheral ulceration keratitis;Phlyctenular kerato conjunctivitis;Superficial punctate keratitis;Microcyst;Dellen;Striae;Folds;Anterior staphyloma;Perforated cornea;Iris prolapse;Adherent leucoma;Perilimbal Horner-Trantas dots;Limbal Herbert's pits;Phthisis bulbi;Other,,,,
691d3046-bdfa-4a5c-8827-173b0a2e78a6,,"Cornea, Right Eye, Abnormal",,The status of abnormal cornea,Question,Coded,Abrations;Punctate epithelial erosions;Central macular ulcer;Paracentral macular ulcer;Peripheral macular ulcer;Superficial Ulcer;Deep ulcer;Vascularized;Corneal epithelial defect;Corneal Opacity;Corneal Edema;Dendritic keratitis;Geographic keratitis;Discform keratitis;Necrotizing stromal keratitis;Stromal Opacity;Diffuse stromal edema;Necrotized stromal keratitis;Stromal edema with KPS;Descemetocele;Micro cornea;Megalo cornea;Buphthalmos;Haab striae;Keratic Precipiates;Corneal tear;Corneal tear with iris prolapse;Foreign body;Lipid deposit;Corneal Haze;Lasik flap;Corneal graft;Penetrating keratoplasty;Endothelial Keratoplasty;Contact lense;Keratoconnus;Kerato malacia;Peripheral ulceration keratitis;Phlyctenular kerato conjunctivitis;Superficial punctate keratitis;Microcyst;Dellen;Striae;Folds;Anterior staphyloma;Perforated cornea;Iris prolapse;Adherent leucoma;Perilimbal Horner-Trantas dots;Limbal Herbert's pits;Phthisis bulbi;Other,,,,
9ecf3055-9524-4e32-a843-7b394c8e3eab,,"Anterior chamber, Left Eye, Normal",,The status of normal anterior chamber,Question,Coded,Deep;Quiet;No cells;No flare,,,,
cda73949-946c-442f-9ba4-0177eb530ccb,,"Anterior chamber, Right Eye, Normal",,The status of normal anterior chamber,Question,Coded,Deep;Quiet;No cells;No flare,,,,
07e0be31-76ba-4501-bde6-a48171aa7091,,"Anterior chamber, Left Eye, Abnormal",,The status of abnormal anterior chamber,Question,Coded,Shallow;Flat;Hyphaema (Anterior);Hypopyon;Acqueous flare;Acqueous cells;Lens particles in AC;Foreign body;Lens in AC;Other,,,,
78f3de6a-e42d-49f3-a5bb-6d9b7ef3231f,,"Anterior chamber, Right Eye, Abnormal",,The status of abnormal anterior chamber,Question,Coded,Shallow;Flat;Hyphaema (Anterior);Hypopyon;Acqueous flare;Acqueous cells;Lens particles in AC;Foreign body;Lens in AC;Other,,,,
c81811dd-18e1-4a2a-8400-2b02fc86438b,,"Iris, Left Eye, Normal",,The status of normal iris,Question,Coded,Normal pigmentation,,,,
92192f91-a378-40c6-90aa-0c92880c5d56,,"Iris, Right Eye, Normal",,The status of normal iris,Question,Coded,Normal pigmentation,,,,
9142f1b4-baac-450d-8cd4-5205e5e0d307,,"Iris, Left Eye, Abnormal",,The status of abnormal iris,Question,Coded,Iridodonesis;New vessels;Pupillary membrane;Coloboma;Nodule;Cyst;Posterior synaechiae;Pseudoexfoliation;Sphincter tear;Atrophy;Iris hypoplasia;Irido dialysis;Heterochromia iridis;Other,,,,
ff1d3a17-3e57-45c7-a10e-384671737355,,"Iris, Right Eye, Abnormal",,The status of abnormal iris,Question,Coded,Iridodonesis;New vessels;Pupillary membrane;Coloboma;Nodule;Cyst;Posterior synaechiae;Pseudoexfoliation;Sphincter tear;Atrophy;Iris hypoplasia;Irido dialysis;Heterochromia iridis;Other,,,,
30c9447a-2e9f-4a20-b2e2-def870ac2354,,"Pupil, Left Eye, Normal",,The status of normal pupil,Question,Coded,Central;Round;Reactive,,,,
e13f6746-7a70-4676-a236-1ce6fcea941c,,"Pupil, Right Eye, Normal",,The status of normal pupil,Question,Coded,Central;Round;Reactive,,,,
a2c15fc4-3e8d-413b-8554-d7130bccecac,,"Pupil, Left Eye, Abnormal",,The status of abnormal pupil,Question,Coded,Non reactive;Dilated;Sluggish;Pupil size after dilation less than 5mm;Pupil size after dilation 6mm;Pupil size after dilation 7mm;Pupil size after dilation 8mm;Pupil size after dilation more than 8mm;Other,,,,
1ba08011-f0e8-4f20-9e64-7e7c99f8920b,,"Pupil, Right Eye, Abnormal",,The status of abnormal pupil,Question,Coded,Non reactive;Dilated;Sluggish;Pupil size after dilation less than 5mm;Pupil size after dilation 6mm;Pupil size after dilation 7mm;Pupil size after dilation 8mm;Pupil size after dilation more than 8mm;Other,,,,
2813229a-0c80-48f5-8480-67a324be9395,,"Lens, Left Eye, Normal",,The status of normal lens,Question,Coded,Clear;Transparent;In place,,,,
2c1f2d37-160e-4853-a4f9-c8b1f9d97909,,"Lens, Right Eye, Normal",,The status of normal lens,Question,Coded,Clear;Transparent;In place,,,,
72067372-6e64-44c2-b5e2-49880ee3ab58,,"Lens, Left Eye, Abnormal",,The status of abnormal lens,Question,Coded,NS I;NS II;NS III;NS IV;PSCC;PPC;Cortical;Mature;Penetrating;Subluxated Lens;Traumatic;Phacolytic;Phacomorphic;Hypermature;Aphakia;Complicated;Pseudophakia;Aphakia;Brown;Mild pseudoexfoliation;Moderate Pseudoexfoliation;Sever Pseudoexfoliation;Other,,,,
8233a5f5-6911-4bcc-9647-229a51453a9c,,"Lens, Right Eye, Abnormal",,The status of abnormal lens,Question,Coded,NS I;NS II;NS III;NS IV;PSCC;PPC;Cortical;Mature;Penetrating;Subluxated Lens;Traumatic;Phacolytic;Phacomorphic;Hypermature;Aphakia;Complicated;Pseudophakia;Aphakia;Brown;Mild pseudoexfoliation;Moderate Pseudoexfoliation;Sever Pseudoexfoliation;Other,,,,
be404ef3-c000-4cfe-afd0-07fd83004dce,,"Sclera, Left Eye, Normal",,The status of normal sclera,Question,Coded,White;Opaque;Normal episcleral vessels,,,,
f5dabe0f-cbc7-4e4e-98aa-7e3749f73057,,"Sclera, Right Eye, Normal",,The status of normal sclera,Question,Coded,White;Opaque;Normal episcleral vessels,,,,
4a8e5b42-c34b-4127-9941-a7c7c946c0d8,,"Sclera, Left Eye, Abnormal",,The status of abnormal sclera,Question,Coded,Icteric;Diffuse Injection;Sectoral injection;Episcleritis;Nodular Scleritis;Scleral thinning;Scleral melting;Necrotizing Scleritis;Blue sclera;Scleral pigmentation;Scleral perforation;Scleral plaque;Surgically induced necrotizing scleritis (SINS);Scleral nodule;Scleral mass;Foreign body;Trauma-related changes;Post-surgical changes;Post-inflammatory changes;Scleromalacia Perforans;Scleral calcification;Chemosis,,,,
50a612bf-3c9f-45d7-9d97-2d1fb6d00122,,"Sclera, Right Eye, Abnormal",,The status of abnormal sclera,Question,Coded,Icteric;Diffuse Injection;Sectoral injection;Episcleritis;Nodular Scleritis;Scleral thinning;Scleral melting;Necrotizing Scleritis;Blue sclera;Scleral pigmentation;Scleral perforation;Scleral plaque;Surgically induced necrotizing scleritis (SINS);Scleral nodule;Scleral mass;Foreign body;Trauma-related changes;Post-surgical changes;Post-inflammatory changes;Scleromalacia Perforans;Scleral calcification;Chemosis,,,,
46c54bc1-a70e-41af-b11c-54d2b516260c,,"Vitreous Examination, Left Eye, Normal",,The status of normal vitreous,Question,Coded,Clear;No cells;No opacity;No hemorrhage,,,,
