Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:24
84ee074c-67b3-11ef-819b-325096b39f47,,"Left eye, Diagnostic and Imaging",Left eye,,Question,Coded,Pachymetry (answer);B scan (answer);Anterior Segment Optical Coherence Tomography (answer);Corneal Topography (answer);Retinal Optical Coherence Tomography (Retinal OCT) (answer);Optic Nerve Head Optical Coherence Tomography(Optic Nerve Head OCT) (answer);Optical Coherence Tomography angiography (OCTA) (answer);Visual field Examination with Humphrey Visual Field Analyser (answer);Retinal Photography (answer);Fluorescein Fundus Angiography (FFA) (answer),,
6abcc83e-7b64-4c77-8cab-fb8e8758ec3b,,"Right eye, Diagnostic and Imaging",Right eye,Diagnostic or imaging test requested,Question,Coded,Pachymetry (answer);B scan (answer);Anterior Segment Optical Coherence Tomography (answer);Corneal Topography (answer);Retinal Optical Coherence Tomography (Retinal OCT) (answer);Optic Nerve Head Optical Coherence Tomography(Optic Nerve Head OCT) (answer);Optical Coherence Tomography angiography (OCTA) (answer);Visual field Examination with Humphrey Visual Field Analyser (answer);Retinal Photography (answer);Fluorescein Fundus Angiography (FFA) (answer),,
88f634a4-67b3-11ef-92b3-325096b39f47,,CBC (answer),CBC,,Misc,N/A,,,
88f63684-67b3-11ef-a054-325096b39f47,,Het/Hgb (answer),Het/Hgb,,Misc,N/A,,,
88f636f2-67b3-11ef-9d9b-325096b39f47,,"WBC, Hematology (answer)",WBC,,Misc,N/A,,,
88f6374c-67b3-11ef-8946-325096b39f47,,Neutrophils (answer),Neutrophils,,Misc,N/A,,,
88f63792-67b3-11ef-a47e-325096b39f47,,Lymphocytes (answer),Lymphocytes,,Misc,N/A,,,
88f637e2-67b3-11ef-a41e-325096b39f47,,Eosinophils (answer),Eosinophils,,Misc,N/A,,,
88f63828-67b3-11ef-bb37-325096b39f47,,Basophils (answer),Basophils,,Misc,N/A,,,
88f6386e-67b3-11ef-9178-325096b39f47,,ESR (answer),ESR,,Misc,N/A,,,
88f638b4-67b3-11ef-bd76-325096b39f47,,Morphology (answer),Morphology,,Misc,N/A,,,
88f638fa-67b3-11ef-9c65-325096b39f47,,Blood group and RH (answer),Blood group and RH,,Misc,N/A,,,
88f63940-67b3-11ef-82d8-325096b39f47,,Blood film  (answer),Blood film ,,Misc,N/A,,,
88f6397c-67b3-11ef-9025-325096b39f47,,HBsAG (answer),HBsAG,,Misc,N/A,,,
88f639c2-67b3-11ef-9f59-325096b39f47,,HCV-AB (answer),HCV-AB,,Misc,N/A,,,
88f63a08-67b3-11ef-9868-325096b39f47,,VDRL (answer),VDRL,,Misc,N/A,,,
88f63a4e-67b3-11ef-8a0d-325096b39f47,,Widal-H (answer),Widal-H,,Misc,N/A,,,
88f63a94-67b3-11ef-98eb-325096b39f47,,Widal-O (answer),Widal-O,,Misc,N/A,,,
88f63ad0-67b3-11ef-aa1b-325096b39f47,,Weill Flex (answer),Weill Flex,,Misc,N/A,,,
88f63b16-67b3-11ef-9bcd-325096b39f47,,H-pylori (answer),H-pylori,,Misc,N/A,,,
88f63b5c-67b3-11ef-a1d8-325096b39f47,,Rheumatoid Factor (RF) (answer),Rheumatoid Factor (RF),,Misc,N/A,,,
88f63ba2-67b3-11ef-82cf-325096b39f47,,Serium Protein (answer),Serium Protein,,Misc,N/A,,,
88f63be8-67b3-11ef-8f61-325096b39f47,,Serology for RVI (answer),Serology for RVI,,Misc,N/A,,,
88f63c2e-67b3-11ef-90b3-325096b39f47,,ASO Test (answer),ASO Test,,Misc,N/A,,,
88f63c6a-67b3-11ef-b1e9-325096b39f47,,Gram Stain (answer),Gram Stain,,Misc,N/A,,,
88f63cb0-67b3-11ef-9fa3-325096b39f47,,Wet Mount  (answer),Wet Mount ,,Misc,N/A,,,
88f63cf6-67b3-11ef-9227-325096b39f47,,AFB (answer),AFB,,Misc,N/A,,,
8be72b1e-67b3-11ef-8106-325096b39f47,,AFB 2x (answer),AFB 2x,,Misc,N/A,,,
8be72dee-67b3-11ef-b0d5-325096b39f47,,Stool Test (answer),Stool Test,,Misc,N/A,,,
8be72e84-67b3-11ef-88bd-325096b39f47,,H-Pylpri (answer),H-Pylpri,,Misc,N/A,,,
8be72efc-67b3-11ef-9e31-325096b39f47,,FBS (answer),FBS,,Misc,N/A,,,
8be72f6a-67b3-11ef-901d-325096b39f47,,RBS (answer),RBS,,Misc,N/A,,,
8be72fd8-67b3-11ef-8499-325096b39f47,,Uric Acid (answer),Uric Acid,,Misc,N/A,,,
8be73046-67b3-11ef-a3d9-325096b39f47,,SGOT (answer),SGOT,,Misc,N/A,,,
8be730be-67b3-11ef-aff5-325096b39f47,,SGPT (answer),SGPT,,Misc,N/A,,,
8be73122-67b3-11ef-a918-325096b39f47,,ALP (answer),ALP,,Misc,N/A,,,
8be73190-67b3-11ef-9a69-325096b39f47,,BUN (answer),BUN,,Misc,N/A,,,
8be731fe-67b3-11ef-83c5-325096b39f47,,Creatinin (answer),Creatinin,,Misc,N/A,,,
8be73262-67b3-11ef-b484-325096b39f47,,LDL (answer),LDL,,Misc,N/A,,,
8be732d0-67b3-11ef-b2b8-325096b39f47,,TG (answer),TG,,Misc,N/A,,,
8be73334-67b3-11ef-bbf1-325096b39f47,,HDL (answer),HDL,,Misc,N/A,,,
8be733a2-67b3-11ef-9a91-325096b39f47,,Cholestrol(T) (answer),Cholestrol(T),,Misc,N/A,,,
8be73406-67b3-11ef-bd92-325096b39f47,,Bilirubin (T) (answer),Bilirubin (T),,Misc,N/A,,,
8be73474-67b3-11ef-804a-325096b39f47,,Bilirubin (D) (answer),Bilirubin (D),,Misc,N/A,,,
8be734ce-67b3-11ef-93e6-325096b39f47,,Total T3 (answer),Total T3,,Misc,N/A,,,
8be7353c-67b3-11ef-8d3d-325096b39f47,,Total T4 (answer),Total T4,,Misc,N/A,,,
8be735aa-67b3-11ef-a8b7-325096b39f47,,TSH (answer),TSH,,Misc,N/A,,,
8be7360e-67b3-11ef-b38e-325096b39f47,,FT3 (answer),FT3,,Misc,N/A,,,
8be7367c-67b3-11ef-bf08-325096b39f47,,FT4 (answer),FT4,,Misc,N/A,,,
8be736ea-67b3-11ef-b53d-325096b39f47,,Levk. (answer),Levk.,,Misc,N/A,,,
8be73744-67b3-11ef-8a47-325096b39f47,,ph (answer),ph,,Misc,N/A,,,
8be73780-67b3-11ef-af47-325096b39f47,,SG (answer),SG,,Misc,N/A,,,
8fa74ad6-67b3-11ef-aad6-325096b39f47,,protein (answer),protein,,Misc,N/A,,,
8fa74d74-67b3-11ef-8aff-325096b39f47,,Ketone (answer),Ketone,,Misc,N/A,,,
8fa74e14-67b3-11ef-bf5e-325096b39f47,,Sugar (answer),Sugar,,Misc,N/A,,,
8fa74e96-67b3-11ef-baab-325096b39f47,,Urobilinogen (answer),Urobilinogen,,Misc,N/A,,,
