Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:35
b6d90510-5b0d-4d52-aef9-b76941de3365,,ICD-11-WHO:9A78.Z,Certain specified disorders of cornea unspecified (Eye diagnosis),Certain specified disorders of cornea unspecified - ICD-11-WHO:9A78.Z,Certain specified disorders of cornea unspecified,Diagnosis,N/A,,,
8f6ccffa-c75d-43ba-90bb-8e2713a8aa34,,ICD-11-WHO:9A7Y,Other specified disorders of the cornea (Eye diagnosis),Other specified disorders of the cornea - ICD-11-WHO:9A7Y,Other specified disorders of the cornea,Diagnosis,N/A,,,
5e1f7cee-6c3d-47a3-adbc-391c3654a831,,ICD-11-WHO:9A7Z,Disorders of the cornea unspecified (Eye diagnosis),Disorders of the cornea unspecified - ICD-11-WHO:9A7Z,Disorders of the cornea unspecified,Diagnosis,N/A,,,
b813e7c6-77c3-4c8e-a313-010cc47f833b,,ICD-11-WHO:9A80,Hyphaema (Eye diagnosis) (Eye diagnosis),Hyphaema - ICD-11-WHO:9A80,Hyphaema,Diagnosis,N/A,,,
e08d7e33-4cc9-457d-9d9c-c20aa70cb1ff,,ICD-11-WHO:9A81,Parasites in the anterior chamber of the eye (Eye diagnosis),Parasites in the anterior chamber of the eye - ICD-11-WHO:9A81,Parasites in the anterior chamber of the eye,Diagnosis,N/A,,,
d73e0b1f-939b-43a5-8100-6b34d85c4bbd,,ICD-11-WHO:9A82,Cyst in the anterior chamber of the eye (Eye diagnosis),Cyst in the anterior chamber of the eye - ICD-11-WHO:9A82,Cyst in the anterior chamber of the eye,Diagnosis,N/A,,,
1b64ac1a-2e8e-42dc-beba-066000632b70,,ICD-11-WHO:9A83,Flat anterior chamber hypotony of eye (Eye diagnosis),Flat anterior chamber hypotony of eye - ICD-11-WHO:9A83,Flat anterior chamber hypotony of eye,Diagnosis,N/A,,,
333220e4-c996-4edd-9877-ea3576126c22,,ICD-11-WHO:9A8Y,Other specified disorders of the anterior chamber (Eye diagnosis),Other specified disorders of the anterior chamber - ICD-11-WHO:9A8Y,Other specified disorders of the anterior chamber,Diagnosis,N/A,,,
779c6327-38ac-430e-8de4-858677db5bbf,,ICD-11-WHO:9A8Z,Disorders of the anterior chamber unspecified (Eye diagnosis),Disorders of the anterior chamber unspecified - ICD-11-WHO:9A8Z,Disorders of the anterior chamber unspecified,Diagnosis,N/A,,,
eaa9f264-ade3-4abb-8f8f-4850b202ad96,,ICD-11-WHO:9A90,Degeneration of iris or ciliary body (Eye diagnosis),Degeneration of iris or ciliary body - ICD-11-WHO:9A90,Degeneration of iris or ciliary body,Diagnosis,N/A,,,
b84f4e06-6ddb-4bc9-a395-732107e6419c,,ICD-11-WHO:9A90.0,Disorders of chamber angle (Eye diagnosis),Disorders of chamber angle - ICD-11-WHO:9A90.0,Disorders of chamber angle,Diagnosis,N/A,,,
2a85aa9e-3112-48b4-8ac2-a7b150eb5297,,ICD-11-WHO:9A90.1,Degeneration of iris (Eye diagnosis),Degeneration of iris - ICD-11-WHO:9A90.1,Degeneration of iris,Diagnosis,N/A,,,
7162b279-7148-4433-aef6-515e5b4fd0a1,,ICD-11-WHO:9A90.2,Iris atrophy (Eye diagnosis),Iris atrophy - ICD-11-WHO:9A90.2,Iris atrophy,Diagnosis,N/A,,,
5d349c17-edb2-4c74-8d70-59bdf151c3ca,,ICD-11-WHO:9A90.Y,Other specified degeneration of iris or ciliary body (Eye diagnosis),Other specified degeneration of iris or ciliary body - ICD-11-WHO:9A90.Y,Other specified degeneration of iris or ciliary body,Diagnosis,N/A,,,
41487c77-b81c-4fa4-a580-8a5d452302e8,,ICD-11-WHO:9A90.Z,Degeneration of iris or ciliary body unspecified (Eye diagnosis),Degeneration of iris or ciliary body unspecified - ICD-11-WHO:9A90.Z,Degeneration of iris or ciliary body unspecified,Diagnosis,N/A,,,
cc50739d-1595-4d11-b77e-1625093af4cf,,ICD-11-WHO:9A91,Cyst of iris ciliary body or anterior chamber (Eye diagnosis),Cyst of iris ciliary body or anterior chamber - ICD-11-WHO:9A91,Cyst of iris ciliary body or anterior chamber,Diagnosis,N/A,,,
f2cb2766-759b-42f7-bcbe-a5fe0a46503f,,ICD-11-WHO:9A92,Persistent pupillary membranes (Eye diagnosis),Persistent pupillary membranes - ICD-11-WHO:9A92,Persistent pupillary membranes,Diagnosis,N/A,,,
80746b00-ec4f-4176-8a09-fcd21f086c13,,ICD-11-WHO:9A93,Adhesions or disruptions of iris or ciliary body (Eye diagnosis),Adhesions or disruptions of iris or ciliary body - ICD-11-WHO:9A93,Adhesions or disruptions of iris or ciliary body,Diagnosis,N/A,,,
afaeee6f-a0d5-4494-8840-21bbd7e59728,,ICD-11-WHO:9A94,Certain specified disorders of iris or ciliary body (Eye diagnosis),Certain specified disorders of iris or ciliary body - ICD-11-WHO:9A94,Certain specified disorders of iris or ciliary body,Diagnosis,N/A,,,
b3cd0341-7650-4c00-8523-77b9aeaac64a,,ICD-11-WHO:9A94.0,Rubeosis of iris (Eye diagnosis),Rubeosis of iris - ICD-11-WHO:9A94.0,Rubeosis of iris,Diagnosis,N/A,,,
95f81517-8a41-4ce6-9a6c-d6e48f96f610,,ICD-11-WHO:9A94.1,Floppy iris syndrome (Eye diagnosis),Floppy iris syndrome - ICD-11-WHO:9A94.1,Floppy iris syndrome,Diagnosis,N/A,,,
809b1c70-ceb7-4466-b651-2dee1820ec29,,ICD-11-WHO:9A94.Y,Other disorders of iris and ciliary body (Eye diagnosis),Other disorders of iris and ciliary body - ICD-11-WHO:9A94.Y,Other disorders of iris and ciliary body,Diagnosis,N/A,,,
